ID,Country_ID,Operator,URL,Previously,Wiki_URL,OperatorType,StockExchange,StockSymbol
1,35,Onatel,http://www.onatel.bf/,"","",,,
2,35,Orange,http://www.orange.bf/,"","",,,
3,35,Telecel,http://www.telecelfaso.bf/,"","",,,
4,29,BeMobile,http://www.btclmobile.co.bw/,"","",,,
5,29,Mascom,https://www.mascom.bw/,"",https://en.wikipedia.org/wiki/MASCOM,,,
6,29,Orange,http://www.orange.co.bw,"Vista Cellular","",,,
7,39,Camtel,http://www.camtel.cm/,"",https://en.wikipedia.org/wiki/Camtel,,,
8,39,MTN,https://www.mtncameroon.net/,"","",,,
9,39,NeXttel,http://www.nexttel.cm/,"","",,,
10,39,Orange,http://www.orange.cm,"","",,,
11,65,Etisalat,http://www.etisalat.eg/,"",https://en.wikipedia.org/wiki/Etisalat_Egypt,,,
12,65,Orange,https://www.orange.eg/,"",https://en.wikipedia.org/wiki/Orange_Egypt,,,
13,65,Vodafone,http://www.vodafone.com.eg,"",https://en.wikipedia.org/wiki/Vodafone_Egypt,,,
14,65,"Telecom Egypt",http://te.eg/,"",https://en.wikipedia.org/wiki/Telecom_Egypt,,,
15,84,Airtel,http://www.africa.airtel.com/wps/wcm/connect/africarevamp/Ghana/,"","",,,
16,84,Glo,http://www.gloworld.com/gh/,"","",,,
17,84,MTN,https://www.mtn.com.gh/,"","",,,
18,84,Tigo,https://www.tigo.com.gh/,"","",,,
19,84,Vodafone,http://www.vodafone.com.gh/,"Ghana Telecom",https://en.wikipedia.org/wiki/Vodafone_Ghana,,,
20,152,mCel,https://www.mcel.co.mz/,"","",,,
21,152,Movitel,http://movitel.co.mz/,"","https://en.wikipedia.org/wiki/Movitel,_SA",,,
22,152,Vodacom,http://www.vm.co.mz/,"","",,,
23,162,Glo,http://www.gloworld.com/ng/,"","",,,
24,116,Safaricom,https://www.safaricom.co.ke/,"",https://en.wikipedia.org/wiki/Safaricom,,,
25,116,"Telkom Kenya",http://www.telkom.co.ke/,Orange,https://en.wikipedia.org/wiki/Telkom_Kenya,,,
26,116,Airtel,http://africa.airtel.com/wps/wcm/connect/africarevamp/Kenya/,"","",,,
27,154,MTC,http://www.mtc.com.na/,"",https://en.wikipedia.org/wiki/MTC_Namibia,,,
28,154,"Telecom Namibia",http://www.telecom.na/,"",https://en.wikipedia.org/wiki/Telecom_Namibia,,,
29,206,Vodacom,http://www.vodacom.co.za/,"",https://en.wikipedia.org/wiki/Vodacom,,,
30,206,CellC,https://www.cellc.co.za/,"",https://en.wikipedia.org/wiki/Cell_C,,,
31,206,MTN,http://www.mtn.co.za/,"",https://en.wikipedia.org/wiki/MTN_Group,,,
32,231,Africell,http://africell.ug/,Orange,https://en.wikipedia.org/wiki/Africell,,,
33,231,MTN,https://www.mtn.co.ug/,"",https://en.wikipedia.org/wiki/MTN_Uganda,,,
34,231,Vodafone,https://vodafone.co.ug/,"","",,,
35,231,UTL,http://www.utl.co.ug,"",https://en.wikipedia.org/wiki/Uganda_Telecom,,,
36,231,Airtel,http://www.africa.airtel.com/uganda/,"Zain / Celtel",https://en.wikipedia.org/wiki/Airtel_Uganda,,,
37,162,nTel,http://www.ntel.com.ng/,"","",,,
38,162,MTN,http://www.mtnonline.com/,"",https://en.wikipedia.org/wiki/MTN_Group,,,
39,162,Glo,http://www.gloworld.com/ng/,"",https://en.wikipedia.org/wiki/Globacom,,,
40,162,Airtel,http://www.africa.airtel.com/nigeria/,"",https://en.wikipedia.org/wiki/Airtel_Africa,,,
41,162,Etisalat,http://9mobile.com.ng/,"",https://en.wikipedia.org/wiki/Etisalat#Etisalat_Nigeria,,,
42,154,Paratus,http://www.paratustelco.com/na/,"","",,,
43,219,Zantel,http://www.zantel.com/,"","",,,
44,219,Tigo,https://www.tigo.co.tz/,Mobitel,https://en.wikipedia.org/wiki/MIC_Tanzania_Limited,,,
45,219,Vodacom,https://vodacom.co.tz/,"",https://en.wikipedia.org/wiki/Vodacom_Tanzania,,,
46,219,Bol,?,"","",,,
47,219,Airtel,http://africa.airtel.com/wps/wcm/connect/africarevamp/Tanzania/,Celtel,https://en.wikipedia.org/wiki/Airtel_Tanzania,,,
48,219,Halotel,http://halotel.co.tz/,"",https://en.wikipedia.org/wiki/Viettel_Tanzania,,,
49,219,"Hits Telecom",http://www.hitstelecom.net/,"","",,,
50,151,Orange,http://www.orange.ma/,"",https://en.wikipedia.org/wiki/Orange_S.A.,,,
51,151,"Maroc Telecom",http://www.iam.ma/,"",https://en.wikipedia.org/wiki/Maroc_Telecom,,,
52,151,Inwi,https://www.inwi.ma/,"Maroc Connect",https://en.wikipedia.org/wiki/Inwi,,,
53,29,Government,"","","",,,
54,116,Yu,"","","",,,
55,162,9Mobile,https://9mobile.com.ng/,Etisalat,"",,,
56,206,Telkom,http://www.telkom.co.za/,"",https://en.wikipedia.org/wiki/Telkom_(South_Africa),,,
57,231,iTel,https://www.itel-mobile.com,"","",,,
58,124,"Lonestar Cell MTN",http://www.lonestarcell.com,"",https://en.wikipedia.org/wiki/Lonestar_Cell,,,
59,124,Orange,http://www.orange.com.lr/,Cellcom,https://en.wikipedia.org/wiki/Orange_S.A.,,,
60,124,Libtelco,http://www.libtelco.com.lr/,"",https://en.wikipedia.org/wiki/Liberia_Telecommunications_Corporation,,,
61,54,MTN,http://www.mtn.ci/,"",https://fr.wikipedia.org/wiki/MTN_C%C3%B4te_d%27Ivoire,,,
62,54,Orange,https://www.orange.ci/,"",https://fr.wikipedia.org/wiki/Orange_C%C3%B4te_d%27Ivoire,,,
63,54,Moov,http://www.moov.com/,"",https://fr.wikipedia.org/wiki/Moov_C%C3%B4te_d%27Ivoire,,,
64,226,"Tunisie Telecom",https://www.tunisietelecom.tn/,"",https://fr.wikipedia.org/wiki/Tunisie_T%C3%A9l%C3%A9com,,,
65,226,Ooredoo,http://www.ooredoo.tn/,"",https://fr.wikipedia.org/wiki/Ooredoo_(Tunisie),,,
66,226,Orange,http://www.orange.tn/,"",https://fr.wikipedia.org/wiki/Orange_Tunisie,,,
67,125,Vodacom,http://www.vodacom.co.ls/,"","",,,
68,125,"Econet Lesotho",https://www.etl.co.ls/,"",https://en.wikipedia.org/wiki/Econet_Telecom_Lesotho,,,
69,206,Rain,https://www.rain.co.za/,"Wireless Business Solutions (WBS)",https://en.wikipedia.org/wiki/Rain_(network_operator),,,
70,206,"Neotel Liquid Telecom",https://www.neotel.co.za/,Neotel,https://en.wikipedia.org/wiki/Neotel,,,
