ID,Band_ID,Operator_ID,licStartYear,licEndYear
1,1,4,,
2,1,53,,
3,1,5,,
4,1,6,,
5,2,4,,
6,2,5,,
7,2,6,,
8,3,6,,
9,1,1,,
10,1,2,,
11,1,3,,
12,2,1,,
13,2,2,,
14,2,3,,
15,1,7,,
16,1,8,,
17,1,9,,
18,1,10,,
19,2,8,,
20,2,9,,
21,2,10,,
22,1,11,,
23,1,12,,
24,1,13,,
25,2,11,,
26,2,12,,
27,2,14,,
28,2,13,,
29,3,11,,
30,3,12,,
31,3,13,,
32,1,15,,
33,1,16,,
34,1,17,,
35,1,18,,
36,1,19,,
37,2,15,,
38,2,16,,
39,2,17,,
40,2,18,,
41,2,19,,
42,3,15,,
43,3,16,,
44,3,17,,
45,3,18,,
46,3,19,,
47,1,26,,
48,1,24,,
49,1,25,,
50,1,54,,
51,4,52,,
52,4,51,,
53,4,50,,
54,1,20,,
55,1,21,,
56,1,22,,
57,2,20,,
58,2,21,,
59,2,22,,
60,3,20,,
61,3,21,,
62,3,22,,
63,1,27,,
64,1,28,,
65,2,27,,
66,2,42,,
67,2,28,,
68,3,27,,
69,3,42,,
70,3,28,,
71,4,42,,
72,4,28,,
73,2,55,,
74,2,40,,
75,2,23,,
76,2,38,,
77,2,37,,
78,3,55,,
79,3,40,,
80,3,23,,
81,3,38,,
82,1,30,,
83,1,31,,
84,1,29,,
85,3,30,,
86,3,31,,
87,3,56,,
88,3,29,,
89,2,47,,
90,2,46,,
91,2,46,,
92,2,46,,
93,2,48,,
94,2,49,,
95,2,44,,
96,2,45,,
97,2,43,,
98,1,32,,
99,1,36,,
100,1,57,,
101,1,33,,
102,1,35,,
103,2,32,,
104,2,36,,
105,2,33,,
106,2,35,,
108,1,58,,
109,2,58,,
110,3,58,,
111,1,59,,
112,2,59,,
113,3,59,,
114,1,61,,
115,1,62,,
116,1,63,,
117,2,61,,
118,2,62,,
119,2,63,,
120,3,61,,
121,3,62,,
122,3,63,,
123,4,61,,
124,4,62,,
125,4,63,,
126,1,52,,
127,1,51,,
128,1,50,,
129,2,52,,
130,2,51,,
131,2,50,,
132,3,52,,
133,3,51,,
134,3,50,,
135,1,64,,
136,1,65,,
137,1,66,,
138,2,64,,
139,2,65,,
140,2,66,,
141,3,64,,
142,3,65,,
143,3,66,,
144,1,67,,
145,1,68,,
146,2,67,,
147,2,68,,
148,3,67,,
149,3,68,,
150,2,29,,
151,2,30,,
152,2,31,,
153,2,56,,
154,2,69,,
155,2,70,,
